price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade,sqft_above,sqft_basement,yr_built,sqft_living15,sqft_lot15,age,day_of_year,bed_bath_ratio,level_ratio,relative_living_space,relative_lot_size,level_difference
485000.0,4,1.0,1600,4300,1.5,4,7,1600,0.0,1916,1610,4300,38783 days 16:47:18.657898,149,4.0,0.0,-10,0,1600.0
230000.0,3,1.0,1250,9774,1.0,4,7,1250,0.0,1969,1280,8850,19424 days 16:47:18.657898,114,3.0,0.0,-30,924,1250.0
385000.0,4,1.75,1620,4980,1.0,4,7,860,760.0,1947,1400,4980,27460 days 16:47:18.657898,134,2.2857142857142856,1.131578947368421,220,0,100.0
2000000.0,3,2.75,3050,44867,1.0,3,9,2330,720.0,1968,4110,20336,19790 days 16:47:18.657898,238,1.0909090909090908,3.236111111111111,-1060,24531,1610.0
285000.0,5,2.5,2270,6300,2.0,3,8,2270,0.0,1995,2240,7005,9928 days 16:47:18.657898,184,2.0,0.0,30,-705,2270.0
252700.0,2,1.5,1070,9643,1.0,3,7,1070,0.0,1985,1220,8386,13580 days 16:47:18.657898,136,1.3333333333333333,0.0,-150,1257,1070.0
329000.0,3,2.25,2450,6500,2.0,4,8,2450,0.0,1985,2200,6865,13580 days 16:47:18.657898,324,1.3333333333333333,0.0,250,-365,2450.0
233000.0,3,2.0,1710,4697,1.5,5,6,1710,0.0,1941,1030,4705,29651 days 16:47:18.657898,307,1.5,0.0,680,-8,1710.0
937000.0,3,1.75,2450,2691,2.0,3,8,1750,700.0,1915,1760,3573,39148 days 16:47:18.657898,177,1.7142857142857142,2.5,690,-882,1050.0
667000.0,3,1.0,1400,1581,1.5,5,8,1400,0.0,1909,1860,3861,41339 days 16:47:18.657898,335,3.0,0.0,-460,-2280,1400.0
438000.0,3,1.75,1520,6380,1.0,3,7,790,730.0,1948,1520,6235,27095 days 16:47:18.657898,175,1.7142857142857142,1.082191780821918,0,145,60.0
719000.0,4,2.5,2570,7173,2.0,3,8,2570,0.0,2005,2630,6026,6275 days 16:47:18.657898,061,1.6,0.0,-60,1147,2570.0
580500.0,3,2.5,2320,3980,2.0,3,8,2320,0.0,2003,2580,3980,7006 days 16:47:18.657898,314,1.2,0.0,-260,0,2320.0
280000.0,2,1.5,1190,1265,3.0,3,7,1190,0.0,2005,1390,1756,6275 days 16:47:18.657898,335,1.3333333333333333,0.0,-200,-491,1190.0
687500.0,4,1.75,2330,5000,1.5,4,7,1510,820.0,1929,1460,5000,34034 days 16:47:18.657898,175,2.2857142857142856,1.8414634146341464,870,0,690.0
535000.0,3,1.0,1090,3000,1.5,4,8,1090,0.0,1929,1570,5080,34034 days 16:47:18.657898,314,3.0,0.0,-480,-2080,1090.0
322500.0,4,2.75,2060,6659,1.0,3,7,1280,780.0,1981,2020,8720,15041 days 16:47:18.657898,337,1.4545454545454546,1.641025641025641,40,-2061,500.0
696000.0,3,2.5,2300,3060,1.5,3,8,1510,790.0,1930,1590,3264,33669 days 16:47:18.657898,164,1.2,1.9113924050632911,710,-204,720.0
550000.0,4,1.0,1660,34848,1.0,1,5,930,730.0,1933,2160,11467,32573 days 16:47:18.657898,148,4.0,1.273972602739726,-500,23381,200.0
640000.0,4,2.0,2360,6000,2.0,4,8,2360,0.0,1904,1730,4700,43166 days 16:47:18.657898,364,2.0,0.0,630,1300,2360.0
240000.0,4,1.0,1220,8075,1.0,2,7,890,330.0,1969,1290,7800,19424 days 16:47:18.657898,044,4.0,2.696969696969697,-70,275,560.0
605000.0,4,2.5,2620,7553,2.0,3,8,2620,0.0,1996,2620,11884,9563 days 16:47:18.657898,171,1.6,0.0,0,-4331,2620.0
625000.0,4,2.5,2570,5520,2.0,3,9,2570,0.0,2000,2470,5669,8102 days 16:47:18.657898,196,1.6,0.0,100,-149,2570.0
775000.0,4,2.25,4220,24186,1.0,3,8,2600,1620.0,1984,2410,30617,13946 days 16:47:18.657898,223,1.7777777777777777,1.6049382716049383,1810,-6431,980.0
685000.0,3,1.0,1570,2280,2.0,3,7,1570,0.0,1922,1580,2640,36591 days 16:47:18.657898,301,3.0,0.0,-10,-360,1570.0
309000.0,3,1.0,1280,9656,1.0,4,6,920,360.0,1959,1340,8808,23077 days 16:47:18.657898,210,3.0,2.5555555555555554,-60,848,560.0
488000.0,3,2.5,3160,13603,2.0,3,8,3160,0.0,2003,3050,9232,7006 days 16:47:18.657898,199,1.2,0.0,110,4371,3160.0
210490.0,3,1.0,990,8528,1.0,3,6,990,0.0,1966,1228,8840,20520 days 16:47:18.657898,084,3.0,0.0,-238,-312,990.0
785000.0,4,2.5,2290,13416,2.0,4,9,2290,0.0,1981,2680,13685,15041 days 16:47:18.657898,197,1.6,0.0,-390,-269,2290.0
450000.0,3,1.75,1250,5963,1.0,4,7,1250,0.0,1953,970,5100,25268 days 16:47:18.657898,118,1.7142857142857142,0.0,280,863,1250.0
1350000.0,3,2.5,2753,65005,1.0,5,9,2165,588.0,1953,2680,72513,25268 days 16:47:18.657898,070,1.2,3.681972789115646,73,-7508,1577.0
228000.0,3,1.0,1190,9199,1.0,3,7,1190,0.0,1955,1190,9364,24538 days 16:47:18.657898,259,3.0,0.0,0,-165,1190.0
345000.0,5,2.5,3150,9134,1.0,4,8,1640,1510.0,1966,1990,9133,20520 days 16:47:18.657898,048,2.0,1.086092715231788,1160,1,130.0
600000.0,3,1.75,1410,4080,1.0,4,7,1000,410.0,1950,1410,4080,26364 days 16:47:18.657898,365,1.7142857142857142,2.4390243902439024,0,0,590.0
585000.0,2,1.75,1980,8550,1.0,3,7,990,990.0,1981,1480,6738,15041 days 16:47:18.657898,036,1.1428571428571428,1.0,500,1812,0.0
920000.0,5,2.25,2730,6000,1.5,3,8,2130,600.0,1927,2730,6000,34765 days 16:47:18.657898,062,2.2222222222222223,3.55,0,0,1530.0
885000.0,4,2.5,2830,5000,2.0,3,9,2830,0.0,1995,1950,5000,9928 days 16:47:18.657898,132,1.6,0.0,880,0,2830.0
292500.0,4,2.5,2250,4495,2.0,3,7,2250,0.0,2008,2250,4500,5180 days 16:47:18.657898,231,1.6,0.0,0,-5,2250.0
301000.0,3,2.5,2420,4750,2.0,3,8,2420,0.0,2003,2690,4750,7006 days 16:47:18.657898,097,1.2,0.0,-270,0,2420.0
951000.0,5,3.25,3250,14342,2.0,4,8,3250,0.0,1968,2960,11044,19790 days 16:47:18.657898,239,1.5384615384615385,0.0,290,3298,3250.0
430000.0,4,3.0,1850,9976,2.0,3,8,1850,0.0,1991,2270,8542,11389 days 16:47:18.657898,054,1.3333333333333333,0.0,-420,1434,1850.0
650000.0,3,2.25,2150,21235,1.0,4,8,1590,560.0,1959,2570,18900,23077 days 16:47:18.657898,344,1.3333333333333333,2.8392857142857144,-420,2335,1030.0
289000.0,3,1.75,1260,8400,1.0,3,7,1260,0.0,1954,1290,8750,24903 days 16:47:18.657898,240,1.7142857142857142,0.0,-30,-350,1260.0
505000.0,3,1.75,2519,8690,2.0,5,8,2519,0.0,1973,2500,9500,17963 days 16:47:18.657898,294,1.7142857142857142,0.0,19,-810,2519.0
549000.0,3,1.75,1540,1044,3.0,3,8,1540,0.0,2014,1580,3090,2988 days 16:47:18.657898,341,1.7142857142857142,0.0,-40,-2046,1540.0
425000.0,3,2.25,1660,6000,1.0,3,7,1110,550.0,1979,1440,4080,15772 days 16:47:18.657898,154,1.3333333333333333,2.018181818181818,220,1920,560.0
317625.0,3,2.75,2770,3809,1.5,5,7,1770,1000.0,1925,1440,4000,35495 days 16:47:18.657898,324,1.0909090909090908,1.77,1330,-191,770.0
975000.0,4,2.5,2720,11049,2.0,3,1,2720,0.0,1989,2750,11049,12119 days 16:47:18.657898,252,1.6,0.0,-30,0,2720.0
287000.0,4,2.5,2240,4648,2.0,3,7,2240,0.0,2005,2221,4557,6275 days 16:47:18.657898,282,1.6,0.0,19,91,2240.0
204000.0,3,1.0,1000,12070,1.0,4,7,1000,0.0,1968,1010,12635,19790 days 16:47:18.657898,237,3.0,0.0,-10,-565,1000.0
1330000.0,5,2.25,3200,20158,1.0,3,8,1600,1600.0,1965,3390,20158,20885 days 16:47:18.657898,163,2.2222222222222223,1.0,-190,0,0.0
1040000.0,5,3.25,4770,50094,1.0,4,1,3070,1700.0,1973,3530,38917,17963 days 16:47:18.657898,255,1.5384615384615385,1.8058823529411765,1240,11177,1370.0
325000.0,3,2.0,1260,5612,1.0,4,7,1260,0.0,1972,1640,4745,18329 days 16:47:18.657898,005,1.5,0.0,-380,867,1260.0
571000.0,4,2.0,2750,7807,1.5,5,7,2250,500.0,1916,1510,7807,38783 days 16:47:18.657898,161,2.0,4.5,1240,0,1750.0
360000.0,4,2.5,2380,5000,2.0,3,8,2380,0.0,2005,2420,5000,6275 days 16:47:18.657898,191,1.6,0.0,-40,0,2380.0
349000.0,3,1.75,1790,50529,1.0,5,7,1090,700.0,1965,1940,50529,20885 days 16:47:18.657898,075,1.7142857142857142,1.5571428571428572,-150,0,390.0
832500.0,4,4.0,3430,35102,2.0,4,1,2390,1040.0,1986,3240,35020,13215 days 16:47:18.657898,309,1.0,2.298076923076923,190,82,1350.0
380000.0,4,1.75,1760,7300,1.0,3,7,880,880.0,1956,1680,7500,24173 days 16:47:18.657898,286,2.2857142857142856,1.0,80,-200,0.0
480000.0,3,1.0,1040,5060,1.0,3,7,1040,0.0,1941,890,5060,29651 days 16:47:18.657898,110,3.0,0.0,150,0,1040.0
410000.0,3,1.0,1410,5060,1.0,4,7,910,500.0,1956,1130,5693,24173 days 16:47:18.657898,160,3.0,1.82,280,-633,410.0
390000.0,3,2.5,2350,5100,2.0,3,8,2350,0.0,2003,2350,5363,7006 days 16:47:18.657898,336,1.2,0.0,0,-263,2350.0
360000.0,4,2.5,1900,5889,2.0,3,7,1900,0.0,1992,1870,6405,11024 days 16:47:18.657898,356,1.6,0.0,30,-516,1900.0
355000.0,2,1.0,2020,6720,1.0,3,7,1010,1010.0,1948,1720,6720,27095 days 16:47:18.657898,301,2.0,1.0,300,0,0.0
356000.0,3,1.5,1680,8712,1.0,3,8,1680,0.0,1964,1850,8797,21251 days 16:47:18.657898,028,2.0,0.0,-170,-85,1680.0
315000.0,3,1.0,960,6634,1.0,3,6,960,0.0,1952,1570,7203,25634 days 16:47:18.657898,153,3.0,0.0,-610,-569,960.0
940000.0,3,1.5,2140,3600,2.0,3,9,1900,240.0,1925,2020,4800,35495 days 16:47:18.657898,318,2.0,7.916666666666667,120,-1200,1660.0
305000.0,5,2.25,2660,8400,1.5,5,7,2660,0.0,1961,1590,8165,22346 days 16:47:18.657898,307,2.2222222222222223,0.0,1070,235,2660.0
461000.0,3,3.25,2770,6278,2.0,3,9,1980,790.0,2006,1900,7349,5910 days 16:47:18.657898,169,0.9230769230769231,2.5063291139240507,870,-1071,1190.0
215000.0,2,2.25,1610,2040,2.0,4,7,1610,0.0,1979,1950,2025,15772 days 16:47:18.657898,139,0.8888888888888888,0.0,-340,15,1610.0
335000.0,2,1.75,1030,1066,2.0,3,7,765,265.0,2006,1030,1106,5910 days 16:47:18.657898,247,1.1428571428571428,2.8867924528301887,0,-40,500.0
243500.0,4,2.5,1980,7403,2.0,3,7,1980,0.0,1988,1980,7510,12485 days 16:47:18.657898,142,1.6,0.0,0,-107,1980.0
1100000.0,5,2.75,3520,6353,2.0,4,1,3520,0.0,2001,2520,6250,7736 days 16:47:18.657898,070,1.8181818181818181,0.0,1000,103,3520.0
153000.0,3,1.0,1200,10500,1.0,3,7,1200,0.0,1962,1350,10500,21981 days 16:47:18.657898,057,3.0,0.0,-150,0,1200.0
430000.0,3,1.5,1580,5000,1.0,3,8,1290,290.0,1939,1570,4500,30382 days 16:47:18.657898,206,2.0,4.448275862068965,10,500,1000.0
700000.0,3,1.5,1580,5000,1.0,3,8,1290,290.0,1939,1570,4500,30382 days 16:47:18.657898,357,2.0,4.448275862068965,10,500,1000.0
905000.0,4,2.5,3300,10250,1.0,3,7,2390,910.0,1946,1950,6045,27825 days 16:47:18.657898,251,1.6,2.6263736263736264,1350,4205,1480.0
247500.0,3,1.75,1960,15681,1.0,3,7,1960,0.0,1967,1750,15616,20155 days 16:47:18.657898,089,1.7142857142857142,0.0,210,65,1960.0
199000.0,4,1.5,1160,6400,1.0,4,7,1160,0.0,1975,1160,6400,17233 days 16:47:18.657898,255,2.6666666666666665,0.0,0,0,1160.0
314000.0,3,1.75,1810,41800,1.0,5,7,1210,600.0,1980,1650,135036,15407 days 16:47:18.657898,192,1.7142857142857142,2.0166666666666666,160,-93236,610.0
437500.0,3,2.5,2320,36847,2.0,3,9,2320,0.0,1992,2550,35065,11024 days 16:47:18.657898,136,1.2,0.0,-230,1782,2320.0
850830.0,3,2.5,2070,13241,1.5,5,9,1270,800.0,1910,2200,4500,40974 days 16:47:18.657898,162,1.2,1.5875,-130,8741,470.0
555000.0,3,2.0,1980,3478,1.5,4,7,1440,540.0,1929,1610,3478,34034 days 16:47:18.657898,300,1.5,2.6666666666666665,370,0,900.0
699950.0,3,2.25,2190,107593,2.0,4,8,2190,0.0,1983,2570,47777,14311 days 16:47:18.657898,346,1.3333333333333333,0.0,-380,59816,2190.0
1090000.0,3,2.5,2920,8113,2.0,3,8,2920,0.0,1950,2370,8113,26364 days 16:47:18.657898,280,1.2,0.0,550,0,2920.0
290000.0,3,1.0,1210,33919,1.0,3,7,1210,0.0,1954,1640,14910,24903 days 16:47:18.657898,267,3.0,0.0,-430,19009,1210.0
375000.0,3,2.5,2340,10005,1.0,4,8,1460,880.0,1978,2250,8162,16137 days 16:47:18.657898,092,1.2,1.6590909090909092,90,1843,580.0
460000.0,3,1.0,1670,4005,1.5,4,7,1170,500.0,1939,1240,4005,30382 days 16:47:18.657898,143,3.0,2.34,430,0,670.0
188500.0,2,1.75,1240,2493,1.0,4,8,1240,0.0,1985,1270,4966,13580 days 16:47:18.657898,204,1.1428571428571428,0.0,-30,-2473,1240.0
680000.0,4,2.5,3140,28037,2.0,4,1,3140,0.0,1991,2990,35001,11389 days 16:47:18.657898,064,1.6,0.0,150,-6964,3140.0
470000.0,5,1.75,2030,12342,2.0,4,7,2030,0.0,1942,2500,9433,29286 days 16:47:18.657898,239,2.857142857142857,0.0,-470,2909,2030.0
597750.0,4,2.5,2310,9624,2.0,3,8,2310,0.0,1984,1940,9636,13946 days 16:47:18.657898,206,1.6,0.0,370,-12,2310.0
570000.0,3,1.75,1260,3328,1.0,5,6,700,560.0,1905,1380,3536,42800 days 16:47:18.657898,063,1.7142857142857142,1.25,-120,-208,140.0
329950.0,3,1.75,2080,5969,1.0,3,7,1080,1000.0,1971,2090,5500,18694 days 16:47:18.657898,328,1.7142857142857142,1.08,-10,469,80.0
480000.0,4,2.5,3230,16171,2.0,3,9,2520,710.0,2001,2640,8517,7736 days 16:47:18.657898,301,1.6,3.5492957746478875,590,7654,1810.0
518500.0,3,3.5,1590,1102,3.0,3,8,1590,0.0,2010,1620,3166,4449 days 16:47:18.657898,177,0.8571428571428571,0.0,-30,-2064,1590.0
205425.0,2,1.0,880,6780,1.0,4,6,880,0.0,1945,1190,6780,28190 days 16:47:18.657898,174,2.0,0.0,-310,0,880.0
171800.0,4,2.0,1570,9600,1.0,3,6,1570,0.0,1950,1880,9000,26364 days 16:47:18.657898,008,2.0,0.0,-310,600,1570.0
535000.0,4,1.0,1610,2982,1.5,4,7,1610,0.0,1925,1610,4040,35495 days 16:47:18.657898,131,4.0,0.0,0,-1058,1610.0
660000.0,3,2.5,2400,6474,1.0,3,8,1560,840.0,1964,2340,10856,21251 days 16:47:18.657898,002,1.2,1.8571428571428572,60,-4382,720.0
391500.0,3,2.0,1450,9132,1.0,3,7,1450,0.0,1987,1580,9104,12850 days 16:47:18.657898,323,1.5,0.0,-130,28,1450.0
395000.0,2,1.0,770,6000,1.0,3,6,770,0.0,1953,1710,6000,25268 days 16:47:18.657898,096,2.0,0.0,-940,0,770.0
445000.0,4,1.75,2100,4400,1.5,5,7,1720,380.0,1924,1850,4400,35861 days 16:47:18.657898,308,2.2857142857142856,4.526315789473684,250,0,1340.0
770000.0,3,2.25,2910,10204,2.0,3,9,2910,0.0,1990,2700,13992,11754 days 16:47:18.657898,169,1.3333333333333333,0.0,210,-3788,2910.0
1450000.0,4,2.75,2750,17789,1.5,3,8,1980,770.0,1914,3060,11275,39513 days 16:47:18.657898,061,1.4545454545454546,2.5714285714285716,-310,6514,1210.0
445000.0,3,2.25,2100,8201,1.0,3,8,1620,480.0,1967,2660,8712,20155 days 16:47:18.657898,198,1.3333333333333333,3.375,-560,-511,1140.0
260000.0,4,2.25,2160,8811,1.0,3,8,1360,800.0,1978,2090,8400,16137 days 16:47:18.657898,198,1.7777777777777777,1.7,70,411,560.0
822500.0,5,3.5,2320,4960,2.0,5,7,1720,600.0,1926,1700,4960,35130 days 16:47:18.657898,164,1.4285714285714286,2.8666666666666667,620,0,1120.0
430000.0,4,2.5,2070,4310,2.0,3,7,2070,0.0,2004,1970,3748,6641 days 16:47:18.657898,096,1.6,0.0,100,562,2070.0
212000.0,3,1.75,1060,7875,1.0,4,7,1060,0.0,1986,1420,7680,13215 days 16:47:18.657898,005,1.7142857142857142,0.0,-360,195,1060.0
660500.0,4,2.25,2010,9603,1.0,3,8,1440,570.0,1986,2060,9793,13215 days 16:47:18.657898,118,1.7777777777777777,2.526315789473684,-50,-190,870.0
784000.0,3,3.5,3950,111078,1.5,3,9,2460,1490.0,1989,2480,88500,12119 days 16:47:18.657898,163,0.8571428571428571,1.651006711409396,1470,22578,970.0
453246.0,3,2.5,2010,2287,2.0,3,8,1390,620.0,2014,1690,1662,2988 days 16:47:18.657898,132,1.2,2.2419354838709675,320,625,770.0
675000.0,4,3.5,2140,2278,3.0,3,9,2140,0.0,2005,1540,2285,6275 days 16:47:18.657898,026,1.1428571428571428,0.0,600,-7,2140.0
199000.0,3,1.75,1320,17390,1.0,4,7,1320,0.0,1956,1550,19265,24173 days 16:47:18.657898,225,1.7142857142857142,0.0,-230,-1875,1320.0
220000.0,4,1.75,2020,7840,1.0,3,7,1010,1010.0,1968,1750,8140,19790 days 16:47:18.657898,217,2.2857142857142856,1.0,270,-300,0.0
452000.0,4,2.25,2590,10002,1.0,4,8,1340,1250.0,1968,1550,10436,19790 days 16:47:18.657898,149,1.7777777777777777,1.072,1040,-434,90.0
382500.0,2,1.0,1190,4440,1.0,3,6,1190,0.0,1981,1060,5715,15041 days 16:47:18.657898,188,2.0,0.0,130,-1275,1190.0
519950.0,3,2.25,1170,1249,3.0,3,8,1170,0.0,2014,1350,1310,2988 days 16:47:18.657898,127,1.3333333333333333,0.0,-180,-61,1170.0
665000.0,2,1.0,1110,3200,1.0,3,7,1110,0.0,1925,1170,3600,35495 days 16:47:18.657898,178,2.0,0.0,-60,-400,1110.0
527700.0,5,2.5,2820,9375,1.0,4,8,1550,1270.0,1968,2820,9375,19790 days 16:47:18.657898,189,2.0,1.220472440944882,0,0,280.0
205000.0,3,1.0,1610,8579,1.0,4,7,1010,600.0,1962,1610,8579,21981 days 16:47:18.657898,128,3.0,1.6833333333333333,0,0,410.0
420000.0,3,1.0,1060,8097,1.0,4,7,940,120.0,1923,1560,7940,36226 days 16:47:18.657898,105,3.0,7.833333333333333,-500,157,820.0
500000.0,4,2.25,2030,8517,1.0,4,8,1380,650.0,1961,2230,8824,22346 days 16:47:18.657898,058,1.7777777777777777,2.123076923076923,-200,-307,730.0
921500.0,4,2.5,3670,315374,2.0,4,9,3670,0.0,1994,2840,87991,10293 days 16:47:18.657898,337,1.6,0.0,830,227383,3670.0
890000.0,4,1.0,2550,4000,2.0,3,8,2370,180.0,1905,2200,4000,42800 days 16:47:18.657898,176,4.0,13.166666666666666,350,0,2190.0
430000.0,2,2.5,2420,60984,2.0,3,7,2420,0.0,2007,1940,193842,5545 days 16:47:18.657898,218,0.8,0.0,480,-132858,2420.0
258000.0,5,2.0,2260,12500,1.0,4,8,1130,1130.0,1960,1360,18000,22712 days 16:47:18.657898,303,2.5,1.0,900,-5500,0.0
511000.0,3,1.0,1430,3455,1.0,3,7,980,450.0,1947,1450,4599,27460 days 16:47:18.657898,308,3.0,2.1777777777777776,-20,-1144,530.0
532170.0,3,2.0,1360,3090,2.0,3,8,1360,0.0,1990,1500,3090,11754 days 16:47:18.657898,232,1.5,0.0,-140,0,1360.0
560000.0,3,1.0,1110,5000,1.5,3,7,1110,0.0,1947,1420,5000,27460 days 16:47:18.657898,099,3.0,0.0,-310,0,1110.0
282950.0,3,1.0,1250,8200,1.0,4,7,1250,0.0,1954,1680,8633,24903 days 16:47:18.657898,090,3.0,0.0,-430,-433,1250.0
2250000.0,4,3.25,5180,19850,2.0,3,1,3540,1640.0,2006,3160,9750,5910 days 16:47:18.657898,091,1.2307692307692308,2.158536585365854,2020,10100,1900.0
350000.0,1,1.0,700,5100,1.0,3,7,700,0.0,1942,1010,5100,29286 days 16:47:18.657898,136,1.0,0.0,-310,0,700.0
215000.0,3,1.0,1180,7669,1.0,4,7,1180,0.0,1967,1190,7669,20155 days 16:47:18.657898,209,3.0,0.0,-10,0,1180.0
650000.0,5,3.5,3960,25245,2.0,3,9,2500,1460.0,1996,2640,13675,9563 days 16:47:18.657898,324,1.4285714285714286,1.7123287671232876,1320,11570,1040.0
320000.0,4,2.75,2640,7500,1.0,3,8,1620,1020.0,1967,1980,7875,20155 days 16:47:18.657898,219,1.4545454545454546,1.588235294117647,660,-375,600.0
247000.0,3,2.0,1270,7198,1.5,3,7,1270,0.0,1916,1160,7198,38783 days 16:47:18.657898,317,1.5,0.0,110,0,1270.0
320000.0,4,1.75,1760,11180,1.0,4,8,1760,0.0,1968,1730,11180,19790 days 16:47:18.657898,276,2.2857142857142856,0.0,30,0,1760.0
255000.0,5,2.25,2060,8632,1.0,3,7,1030,1030.0,1962,1010,11680,21981 days 16:47:18.657898,127,2.2222222222222223,1.0,1050,-3048,0.0
438000.0,3,1.75,1780,9660,1.0,3,7,1780,0.0,1962,1200,9660,21981 days 16:47:18.657898,068,1.7142857142857142,0.0,580,0,1780.0
900000.0,3,2.5,3400,16603,2.0,3,1,3400,0.0,2000,3400,12601,8102 days 16:47:18.657898,063,1.2,0.0,0,4002,3400.0
441000.0,3,2.75,1910,7280,1.0,3,7,1160,750.0,1979,1710,8152,15772 days 16:47:18.657898,171,1.0909090909090908,1.5466666666666666,200,-872,410.0
420000.0,3,2.0,2020,38332,1.0,4,7,1010,1010.0,1975,2110,36590,17233 days 16:47:18.657898,224,1.5,1.0,-90,1742,0.0
370000.0,3,1.75,1580,7000,1.0,3,7,1180,400.0,1976,1640,7500,16868 days 16:47:18.657898,342,1.7142857142857142,2.95,-60,-500,780.0
269950.0,2,1.75,1340,7250,1.0,5,5,700,640.0,1949,1830,9750,26729 days 16:47:18.657898,050,1.1428571428571428,1.09375,-490,-2500,60.0
807100.0,4,2.5,2680,4499,2.0,3,9,2680,0.0,1999,2920,4500,8467 days 16:47:18.657898,083,1.6,0.0,-240,-1,2680.0
653000.0,3,2.5,2680,9750,1.0,4,8,1610,1070.0,1979,2480,8750,15772 days 16:47:18.657898,156,1.2,1.5046728971962617,200,1000,540.0
371500.0,3,2.0,1370,8336,1.0,5,7,1370,0.0,1964,1770,7288,21251 days 16:47:18.657898,162,1.5,0.0,-400,1048,1370.0
284000.0,3,1.75,1560,21000,1.0,3,7,1560,0.0,1954,1070,7920,24903 days 16:47:18.657898,075,1.7142857142857142,0.0,490,13080,1560.0
272000.0,3,1.75,2160,7140,1.0,4,7,1670,490.0,1978,1930,7350,16137 days 16:47:18.657898,002,1.7142857142857142,3.4081632653061225,230,-210,1180.0
313000.0,3,1.5,1340,7912,1.5,3,7,1340,0.0,1955,1480,7940,24538 days 16:47:18.657898,122,2.0,0.0,-140,-28,1340.0
917500.0,4,2.5,3880,35003,2.0,3,1,2570,1310.0,1984,3740,35230,13946 days 16:47:18.657898,016,1.6,1.9618320610687023,140,-227,1260.0
673000.0,4,2.25,2590,8190,2.0,4,8,2590,0.0,1980,2260,8335,15407 days 16:47:18.657898,272,1.7777777777777777,0.0,330,-145,2590.0
425000.0,3,2.5,1120,1100,2.0,3,8,820,300.0,2008,1590,1795,5180 days 16:47:18.657898,041,1.2,2.7333333333333334,-470,-695,520.0
399950.0,5,2.75,1970,5400,1.0,3,7,1320,650.0,1986,1280,2150,13215 days 16:47:18.657898,190,1.8181818181818181,2.0307692307692307,690,3250,670.0
385000.0,3,1.0,1220,4800,1.0,3,6,1220,0.0,1901,1200,4800,44261 days 16:47:18.657898,150,3.0,0.0,20,0,1220.0
269950.0,3,1.5,1950,7560,1.0,4,7,1320,630.0,1975,1950,8941,17233 days 16:47:18.657898,321,2.0,2.0952380952380953,0,-1381,690.0
330000.0,2,1.0,1350,8220,1.0,3,7,1060,290.0,1949,1540,8280,26729 days 16:47:18.657898,007,2.0,3.6551724137931036,-190,-60,770.0
260000.0,3,2.5,1670,5797,2.0,3,7,1670,0.0,1988,1670,6183,12485 days 16:47:18.657898,206,1.2,0.0,0,-386,1670.0
